#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Zpi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Re / Ohm]"	"Zpi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Im / Ohm]"
#-------------------------------------------------------------------------------------------------------------------------------------------
0.80420000000000	0.76107700793737	4.9278993419361
0.80424000000000	0.76134650345108	4.9290091158106
0.80428000000000	0.76161615569201	4.9301193174648
0.80432000000000	0.76188596478286	4.9312299471467
0.80436000000000	0.76215593084642	4.9323410051042
0.80440000000000	0.76242605400559	4.9334524915855
0.80444000000000	0.76269633438342	4.9345644068391
0.80448000000000	0.76296677210307	4.9356767511134
0.80452000000000	0.76323736728781	4.9367895246573
0.80456000000000	0.76350812006104	4.9379027277197
0.80460000000000	0.76377903054629	4.9390163605498
0.80464000000000	0.76405009886719	4.9401304233969
0.80468000000000	0.76432132514751	4.9412449165105
0.80472000000000	0.76459270951113	4.9423598401404
0.80476000000000	0.76486425208208	4.9434751945364
0.80480000000000	0.76513595298446	4.9445909799486
0.80484000000000	0.76540781234254	4.9457071966273
