#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Spi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Magnitude / dB]"
#------------------------------------------------------------------------------------
0.80612000000000	-0.26635813414524
0.80616000000000	-0.26645231490048
0.80620000000000	-0.26654655009976
0.80624000000000	-0.26664083978530
0.80628000000000	-0.26673518399932
0.80632000000000	-0.26682958278411
0.80636000000000	-0.26692403618197
0.80640000000000	-0.26701854423527
0.80644000000000	-0.26711310698640
0.80648000000000	-0.26720772447781
0.80652000000000	-0.26730239675197
0.80656000000000	-0.26739712385142
0.80660000000000	-0.26749190581870
0.80664000000000	-0.26758674269643
0.80668000000000	-0.26768163452724
0.80672000000000	-0.26777658135384
0.80676000000000	-0.26787158321895
0.80680000000000	-0.26796664016533
0.80684000000000	-0.26806175223580
0.80688000000000	-0.26815691947322
0.80692000000000	-0.26825214192047
0.80696000000000	-0.26834741962050
0.80700000000000	-0.26844275261627
