#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Spi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Magnitude]"
#-------------------------------------------------------------------------------
0.80424000000000	0.97028738679566
0.80428000000000	0.97027714667584
0.80432000000000	0.97026690079883
0.80436000000000	0.97025664916031
0.80440000000000	0.97024639175596
0.80444000000000	0.97023612858146
0.80448000000000	0.97022585963246
0.80452000000000	0.97021558490464
0.80456000000000	0.97020530439365
0.80460000000000	0.97019501809515
0.80464000000000	0.97018472600479
0.80468000000000	0.97017442811822
0.80472000000000	0.97016412443108
0.80476000000000	0.97015381493901
0.80480000000000	0.97014349963765
0.80484000000000	0.97013317852262
0.80488000000000	0.97012285158957
0.80492000000000	0.97011251883410
0.80496000000000	0.97010218025183
0.80500000000000	0.97009183583839
0.80504000000000	0.97008148558939
0.80508000000000	0.97007112950042
0.80512000000000	0.97006076756710
0.80516000000000	0.97005039978502
0.80520000000000	0.97004002614977
0.80524000000000	0.97002964665695
0.80528000000000	0.97001926130214
0.80532000000000	0.97000887008093
0.80536000000000	0.96999847298889
0.80540000000000	0.96998807002159
0.80544000000000	0.96997766117461
0.80548000000000	0.96996724644351
0.80552000000000	0.96995682582386
0.80556000000000	0.96994639931120
0.80560000000000	0.96993596690110
0.80564000000000	0.96992552858909
0.80568000000000	0.96991508437073
0.80572000000000	0.96990463424156
0.80576000000000	0.96989417819711
0.80580000000000	0.96988371623292
0.80584000000000	0.96987324834451
0.80588000000000	0.96986277452740
0.80592000000000	0.96985229477712
0.80596000000000	0.96984180908919
0.80600000000000	0.96983131745910
0.80604000000000	0.96982081988237
0.80608000000000	0.96981031635451
0.80612000000000	0.96979980687100
0.80616000000000	0.96978929142735
0.80620000000000	0.96977877001904
0.80624000000000	0.96976824264156
0.80628000000000	0.96975770929039
0.80632000000000	0.96974716996102
0.80636000000000	0.96973662464890
0.80640000000000	0.96972607334951
0.80644000000000	0.96971551605832
0.80648000000000	0.96970495277078
0.80652000000000	0.96969438348235
0.80656000000000	0.96968380818849
0.80660000000000	0.96967322688463
0.80664000000000	0.96966263956623
0.80668000000000	0.96965204622871
0.80672000000000	0.96964144686753
0.80676000000000	0.96963084147810
0.80680000000000	0.96962023005585
0.80684000000000	0.96960961259620
0.80688000000000	0.96959898909457
0.80692000000000	0.96958835954638
0.80696000000000	0.96957772394703
0.80700000000000	0.96956708229192
0.80704000000000	0.96955643457646
0.80708000000000	0.96954578079605
0.80712000000000	0.96953512094606
0.80716000000000	0.96952445502189
0.80720000000000	0.96951378301893
0.80724000000000	0.96950310493254
0.80728000000000	0.96949242075811
0.80732000000000	0.96948173049101
0.80736000000000	0.96947103412659
0.80740000000000	0.96946033166022
0.80744000000000	0.96944962308725
0.80748000000000	0.96943890840305
0.80752000000000	0.96942818760294
0.80756000000000	0.96941746068229
0.80760000000000	0.96940672763642
0.80764000000000	0.96939598846067
0.80768000000000	0.96938524315037
0.80772000000000	0.96937449170084
0.80776000000000	0.96936373410742
0.80780000000000	0.96935297036540
0.80784000000000	0.96934220047012
0.80788000000000	0.96933142441686
0.80792000000000	0.96932064220094
0.80796000000000	0.96930985381766
0.80800000000000	0.96929905926231
0.80804000000000	0.96928825853017
0.80808000000000	0.96927745161654
0.80812000000000	0.96926663851670
